timestamp,atividade_desejada,pagaria,valor_justo,ja_teve_aula,como_encontrar,comentarios
2025-07-29T19:17:37.325Z,Violão,sim,51-100,nao,google; indicacao,Gostaria de encontrar um instrutor qualificado e com boa didática para aprender violão do zero.
2025-07-30T22:28:07.829Z,teste,sim,151-200,nao,aplicativo,teste
2025-07-30T22:42:21.507Z,Violão,sim,101-150,nao,redes-sociais; indicacao,
2025-07-30T22:45:57.456Z,teste,sim,51-100,sim,google,tt
2025-07-30T22:48:21.584Z,Defesa pessoal,sim,101-150,nao,google,
2025-07-31T00:11:06.371Z,violao,talvez,acima-200,nao,redes-sociais,
2025-07-31T00:44:35.829Z,Violão,talvez,ate-50,nao,google; redes-sociais; indicacao,
2025-07-31T00:47:17.679Z,piano,talvez,101-150,nao,indicacao,
2025-07-31T00:51:55.006Z,Programar sites,talvez,101-150,nao,indicacao; aplicativo; academia-escola,
2025-07-31T00:53:58.473Z,Defesa pessoal,sim,101-150,nao,redes-sociais; indicacao; academia-escola,Anuncios
2025-07-31T00:58:40.510Z,Computação,sim,acima-200,nao,google; redes-sociais; indicacao,
2025-07-31T01:54:13.301Z,futebol,sim,51-100,sim,indicacao,
2025-07-31T01:55:59.372Z,artes marcial,sim,51-100,sim,indicacao; academia-escola,
2025-07-31T02:02:15.179Z,kart,sim,101-150,sim,google,"Pistas variadas, por idade."
2025-07-31T02:20:44.030Z,Volei,sim,101-150,nao,redes-sociais; indicacao,
2025-07-31T02:21:23.941Z,volei,sim,101-150,nao,indicacao,
2025-07-31T02:22:13.919Z,ukulele,sim,101-150,nao,google; redes-sociais; indicacao; academia-escola,
